followers,followings,tweets_count,tweets_likes,replies_count,replies_likes,retweets_count,retweets_with_comment_count,retweets_with_comment_likes,retweeteds,replieds
8,11,3,3,0,0,11,0,0,1,0
30,46,32,295,2,2,45,0,0,60,0
337,464,4,36,6,7,65,0,0,4,0
11,16,4,11,1,1,0,0,0,1,4
12,20,1,0,0,0,235,0,0,97,0
48,40,1,0,0,0,479,0,0,120,0
379,1147,15,231,61,65,24,2,4,1,1
126,225,1,0,0,0,17,2,4,2,0
9,14,15,82,1,0,4,0,0,27,0
43,34,21,223,60,156,79,33,57,36,11
85,115,66,1156,2,0,74,3,36,574,1
710,1071,10,21,4,1,89,0,0,3,0
336,552,29,447,61,117,9,0,0,8,10
120,236,26,311,5,10,95,1,1,447,2
6,0,1,0,1,0,123,0,0,79,0
40,146,35,6,67,53,0,0,0,2,0
48,44,4,20,3,3,1,0,0,4,0
106,326,14,27,4,3,100,0,0,8,0
121,86,32,985,56,66,9,0,0,124,13
5,17,3,1,0,0,4,0,0,1,0
55,7,4,53,15,11,1,0,0,7,0
28,75,4,6,0,0,43,1,0,6,0
330,351,13,408,0,0,0,0,0,3,0
95,306,8,19,2,2,11,0,0,1,0
713,2878,29,212,1,3,6,0,0,38,0
28,18,3,34,29,22,7,4,39,3,0
207,295,7,170,69,62,58,3,14,15,9
1,2,1,0,0,0,0,0,0,0,0
34,53,3,23,5,2,38,0,0,3,0
12,0,8,4,20,14,5,0,0,1,2
574,894,16,327,17,13,82,1,7,12,2
5,0,1,0,0,0,111,0,0,6,0
49,128,2,1,61,77,87,1,1,1,8
283,537,15,559,14,31,262,0,0,202,16
356,1213,14,49,0,0,0,0,0,1,1
4,2,1,0,0,0,3,0,0,0,0
4,33,4,0,33,56,1,3,5,1,7
6,29,1,0,6,1,190,2,0,158,1
36,125,8,1,19,4,129,0,0,22,12
7,11,1,0,11,11,190,0,0,69,0
39,42,13,186,27,18,14,1,1,0,18
11,20,1,0,0,0,198,0,0,122,0
42,1,31,222,1,3,2,0,0,6,1
2,11,1,0,5,0,2,5,0,1,0
10,0,11,0,14,1,111,0,0,80,16
6,27,5,9,8,1,1,0,0,1,0
17,18,34,23,6,0,35,4,2,4,0
45,76,4,6,82,95,19,3,1,4,1
7,8,4,13,1,0,5,0,0,0,0
77,117,50,232,36,42,33,3,4,3,7
1306,1210,62,4541,35,52,70,5,86,266,35
42,65,3,2,1,1,444,1,0,15,0
10,20,1,0,0,0,231,0,0,151,0
9,1,21,0,1,0,590,0,0,165,2
5,35,4,3,39,47,8,0,0,0,8
15,4,6,30,1,2,3,0,0,9,2
4,5,6,2,0,0,528,0,0,6,0
2,0,1,0,0,0,181,0,0,28,0
10,50,12,0,0,0,296,0,0,15,0
13,36,22,21,58,55,19,3,12,3,11
6,0,1,0,11,3,110,0,0,28,0
6,3,13,33,0,0,265,0,0,98,2
5,0,3,0,0,0,261,0,0,122,2
6,12,1,0,0,0,0,0,0,0,0
1,0,32,0,10,0,85,0,0,30,0
5,22,1,0,3,0,215,0,0,233,0
293,726,3,3,3,2,148,0,0,7,0
6,13,1,0,24,1,269,0,0,237,1
140,106,30,308,6,5,4,0,0,33,13
14,53,14,283,52,102,107,7,3,17,6
5,11,1,0,0,0,111,0,0,1,0
20,40,4,1,31,33,0,0,0,1,3
26,29,38,50,24,23,42,0,0,11,1
517,567,7,51,85,154,17,14,157,32,15
1,13,2,0,0,0,103,0,0,3,0
1036,934,33,3368,88,96,21,6,0,227,273
98,176,8,205,2,3,22,1,8,69,1
47,150,20,50,29,21,2,1,7,1,5
75,83,2,25,1,0,42,0,0,6,0
5,0,9,37,2,2,0,0,0,2,1
1639,2591,68,7742,71,91,24,0,0,281,51
343,270,7,264,36,27,0,1,30,13,0
15,23,2,0,7,2,209,2,0,0,0
696,1588,35,907,48,43,6,1,1,30,13
97,106,10,165,22,18,9,0,0,11,3
129,382,14,25,0,0,0,0,0,0,0
74,13,24,85,49,41,9,0,0,8,3
483,805,13,185,84,86,8,9,51,7,15
142,163,15,735,19,18,39,0,0,25,10
1,3,2,2,0,0,4,0,0,2,0
235,1088,101,54,0,0,0,0,0,2,1
125,224,28,586,63,85,9,10,74,10,24
64,128,2,10,4,1,140,0,0,1,0
19,13,4,16,1,2,97,0,0,26,1
93,83,39,75,37,38,53,1,0,3,6
1643,1778,87,1765,14,13,0,0,0,0,0
2,0,8,8,0,0,0,0,0,3,0
107,49,23,324,9,14,2,0,0,20,11
27,44,6,23,2,1,4,3,1,5,0
15,29,1,0,0,0,172,2,0,0,0
229,105,66,685,35,41,0,0,0,4,8
234,266,8,177,58,51,46,5,6,5,21
1,0,6,18,0,0,11,0,0,10,0
14,43,21,54,24,9,29,1,0,17,2
648,617,29,274,6,3,7,0,0,4,2
75,162,31,89,28,39,41,1,1,2,0
1095,1100,30,803,68,74,4,2,22,5,4
88,128,13,33,93,114,24,0,0,30,43
74,82,15,99,34,54,0,52,164,131,3
90,146,13,80,75,74,12,3,21,2,6
852,1198,18,2937,173,1795,19,21,134,179,85
18,86,5,36,0,0,0,0,0,9,0
145,347,36,309,3,7,241,0,0,114,0
6,8,60,77,36,20,10,0,0,11,15
75,128,7,97,2,3,84,3,4,38,1
11,21,3,1,76,10,18,16,3,13,17
2,0,2,0,37,23,2,0,0,2,1
17,3,6,21,3,6,5,0,0,33,5
6,0,26,112,0,0,0,0,0,1,0
10,25,7,5,1,1,30,0,0,3,0
22,30,22,67,57,20,81,0,0,11,2
357,476,82,1481,13,10,261,33,179,220,81
65,69,7,148,11,7,2,0,0,2,1
1411,1699,29,3562,91,123,13,0,0,43,76
673,666,26,461,84,173,8,4,22,12,35
1,0,1,0,0,0,107,0,0,67,0
25,82,11,101,27,18,33,11,28,5,1
57,42,20,169,49,37,2,29,22,32,53
7,3,12,16,1,1,0,0,0,2,0
5,0,26,18,31,28,21,12,8,0,31
817,749,36,1238,77,89,1,1,2,94,18
988,808,38,3864,79,98,115,0,0,49,92
1,36,1,0,1,2,0,0,0,0,0
440,436,109,2815,84,85,3,1,9,63,164
30,0,1,0,0,0,257,0,0,12,1
164,314,4,68,0,0,593,0,0,182,0
1,0,1,0,0,0,0,0,0,0,0
2,37,5,0,85,13,0,0,0,1,0
171,341,53,264,0,0,199,0,0,476,2
24,153,21,90,11,19,1,1,0,2,0
7,0,10,174,1,1,0,0,0,3,0
4,15,4,3,0,0,301,0,0,57,0
557,561,27,1506,84,82,2,6,48,8,62
58,433,8,21,23,26,51,1,18,1,7
68,68,3,155,3,2,0,0,0,13,1
2,34,5,6,3,1,2,0,0,1,0
93,158,15,28,39,72,162,10,24,30,8
9,56,2,0,0,0,0,0,0,0,0
37,0,2,31,1,1,118,0,0,13,0
7,4,27,51,2,2,26,1,0,44,0
9,18,1,0,4,6,0,1,0,1,0
903,894,96,10012,133,160,185,9,196,642,364
433,627,19,1164,2,30,1,0,0,38,1
60,95,5,6,5,5,13,0,0,1,0
325,392,11,358,0,0,151,0,0,23,1
3,22,1,0,1,0,1,1,0,1,0
3,5,1,0,0,0,0,0,0,1,0
9,15,2,2,0,0,100,0,0,9,0
647,1233,18,25,73,59,37,10,30,17,5
79,285,2,13,1,3,0,0,0,2,1
579,766,17,898,66,105,35,1,31,13,18
253,449,9,81,11,15,1,5,51,16,0
8,1,3,308,0,0,1,0,0,72,1
4,13,3,21,2,13,20,0,0,19,1
4,12,37,40,6,4,6,1,1,6,3
294,492,22,87,70,51,10,11,14,5,18
674,534,38,1779,2,53,220,1,0,555,20
18,17,13,67,0,0,4,0,0,20,0
1274,3259,16,690,32,66,32,0,0,41,6
72,140,22,182,54,53,8,0,0,4,5
35,42,6,31,0,0,13,0,0,4,0
6,24,2,4,1,1,0,0,0,1,0
9,3,5,63,0,0,19,0,0,18,0
2,1,9,24,0,0,1,0,0,4,0
56,200,1,0,1,0,211,4,0,1,0
2,0,30,22,0,0,23,0,0,1,0
30,45,56,91,0,0,55,0,0,146,0
1113,1399,26,500,19,41,141,8,19,46,7
10,30,9,21,6,2,2,0,0,3,6
6,32,1,0,100,26,0,0,0,2,1
39,100,2,0,79,89,1,0,0,3,1
115,211,18,158,80,120,7,13,3,34,7
1,1,2,0,0,0,1,0,0,1,0
2,3,21,4,13,5,15,0,0,4,0
231,322,84,835,19,26,5,11,22,97,6
95,108,13,414,38,27,26,6,3,9,10
7,15,13,127,0,0,3,0,0,6,2
3,6,5,0,34,1,1,0,0,1,0
65,195,20,233,7,22,13,0,0,3,4
1,2,3,3,0,0,2,0,0,4,0
116,556,7,37,27,92,7,0,0,3,0
43,61,31,43,0,0,27,0,0,16,0
5,10,20,104,20,50,81,1,4,48,3
23,54,3,2,20,12,1,0,0,1,0
2,16,1,0,3,4,0,0,0,0,0
5,39,4,4,1,0,76,0,0,3,0
95,188,3,3,0,0,58,238,482,98,6
22,18,2,49,100,74,7,2,0,0,50
296,710,16,220,23,13,4,0,0,12,1
14,41,8,21,40,56,7,0,0,7,3
18,134,3,7,1,1,3,0,0,1,0
11,41,10,8,9,9,4,0,0,1,1
380,761,10,69,0,0,439,0,0,519,4
8,19,11,12,75,36,22,1,0,1,2
20,138,22,29,27,16,32,0,0,13,1
5,4,3,9,3,2,0,2,1,2,0
57,177,1,0,33,273,466,2,0,3,6
88,340,3,11,2,1,0,0,0,4,0
28,28,3,25,0,0,15,0,0,2,0
23,40,12,35,21,30,76,0,0,9,4
346,1075,2,42,0,0,1386,0,0,20,1
29,74,7,9,84,82,1,0,0,2,1
57,472,31,38,0,0,52,6,5,33,0
57,66,4,69,2,2,48,0,0,7,0
1,0,18,3,0,0,0,0,0,15,0
31,71,8,5,7,13,72,33,23,4,1
9,0,16,111,0,0,112,0,0,52,0
4,0,7,2,0,0,1,0,0,1,0
4,7,3,1,3,1,2,0,0,1,0
185,872,8,3,60,67,21,1,0,1,5
71,38,5,57,0,0,419,0,0,19,1
108,125,12,436,15,15,3,0,0,17,1
3,0,5,4,37,10,0,4,12,4,0
1009,1811,13,466,6,6,195,0,0,1785,0
676,801,40,6013,105,123,49,2,21,374,200
22,62,19,37,17,13,44,32,26,10,2
144,291,4,34,15,35,124,0,0,4,3
632,630,25,734,14,12,238,13,5,58,34
102,78,18,95,32,41,21,0,0,2,0
42,74,8,65,0,0,9,20,79,25,0
1591,480,20,1197,21,25,48,12,327,3,2
9,2,19,35,15,12,2,0,0,2,2
27,41,26,147,3,8,19,0,0,31,2
42,0,9,199,18,21,71,4,5,6,0
236,589,29,92,5,5,10,0,0,55,1
217,216,1,0,44,169,177,4,30,128,58
31,41,20,192,2,5,4,1,4,64,1
96,0,2,21,0,0,4,0,0,2,0
43,75,33,267,1,3,21,0,0,44,0
74,126,30,371,78,207,19,66,610,60,193
11,135,13,3,4,0,9,2,0,1,2
634,647,31,1837,175,520,459,175,502,1262,241
55,136,22,27,4,0,0,0,0,1,4
31,91,1,0,0,0,180,0,0,15,0
865,1127,50,930,20,52,42,1,5,304,4
27,139,3,7,2,3,22,0,0,2,0
204,242,18,591,4,3,126,0,0,9,1
17,58,3,2,35,53,0,0,0,3,0
82,117,61,255,10,8,13,0,0,51,2
21,20,3,86,1,6,384,0,0,33,3
76,78,5,62,90,94,6,5,4,2,28
191,180,6,167,0,0,4,0,0,7,0
6,11,15,0,38,13,3,0,0,1,0
272,246,9,76,83,60,51,0,0,4,41
443,1119,14,93,61,88,31,0,0,24,3
119,0,10,77,0,0,0,0,0,1,1
18,2,2,0,92,75,13,1,1,0,24
17,53,24,154,7,6,7,0,0,4,2
329,365,16,147,45,42,51,20,49,9,16
23,11,127,144,18,3,14,1,0,6,0
2,511,9,22,0,0,21,0,0,6,0
37,82,6,136,0,0,13,0,0,19,1
7,7,7,6,17,8,8,0,0,3,0
1607,1221,74,8044,219,5442,412,57,591,1400,464
108,883,1,0,98,86,15,0,0,3,17
520,2397,5,525,7,5,0,0,0,13,8
2,4,11,1,0,0,10,0,0,1,0
8,46,5,4,2,3,0,0,0,4,0
18,104,5,7,36,23,3,0,0,1,3
165,463,74,156,59,99,73,11,13,119,11
2,5,2,0,0,0,1,0,0,1,0
65021,12,104,121689,0,0,0,0,0,11,0
17,72,3,16,0,0,156,0,0,67,0
28,36,14,60,4,4,72,0,0,68,1
266,831,53,87,4,4,0,0,0,0,0
344,504,39,241,29,104,8,12,27,188,26
14,0,28,231,1,1,88,0,0,52,0
189,221,42,289,55,65,21,18,23,4,31
149,135,38,484,60,68,8,3,17,19,14
679,618,40,616,161,211,32,9,11,54,331
7,9,7,9,2,2,0,0,0,2,1
555,738,14,303,98,117,3,7,8,6,30
85,116,5,35,0,0,133,0,0,67,1
270,284,7,217,46,244,196,2,12,54,63
113,90,56,482,125,181,253,101,210,69,268
31,18,19,116,0,0,0,0,0,50,0
467,676,23,457,189,359,0,0,0,9,48
71,0,7,54,60,123,50,2,2,6,11
171,180,106,1931,85,93,48,8,41,29,119
14,25,14,181,13,38,161,0,0,94,0
18,15,22,113,0,0,89,0,0,141,0
119,174,102,1127,14,16,36,1,7,485,8
301,1012,5,13,97,174,2,5,16,3,44
2,6,3,0,0,0,108,0,0,16,0
5,0,2,27,0,0,0,0,0,2,0
52,125,25,122,184,233,42,23,61,36,39
10,6,25,28,3,1,43,0,0,2,0
9,13,11,2,3,0,173,0,0,53,1
2,3,9,23,0,0,98,0,0,10,0
1132,1193,25,515,76,88,173,5,23,86,14
192,433,7,4,23,62,763,12,1,23,22
8,15,13,38,13,16,1,2,1,2,2
2,3,6,7,0,0,0,0,0,1,0
46,100,12,121,0,0,0,0,0,41,0
1,0,1,0,0,0,0,0,0,0,0
4,7,5,9,0,0,2,0,0,3,0
176,309,4,16,2,7,9,1,3,2,1
802,708,90,2910,123,111,13,10,31,40,185
8,81,6,3,0,0,0,1,1,1,0
100,99,52,2323,38,74,90,8,131,25,18
75,206,11,13,23,13,211,14,7,4,15
189,308,42,209,34,59,0,6,30,22,4
189,317,3,26,106,142,481,0,0,22,27
366,136,33,1682,164,234,72,19,77,76,134
121,111,33,68,0,0,281,1,0,154,1
92,197,14,242,31,47,1,0,0,7,12
27,17,100,270,0,0,7,0,0,69,1
5,2,3,4,28,8,0,0,0,1,3
39,0,7,35,0,0,98,0,0,14,0
222,286,19,59,54,57,118,0,0,11,26
150,152,5,9,33,43,82,3,6,3,0
113,140,14,32,1,0,3,141,70,307,0
2,9,1,0,27,51,0,0,0,0,2
336,528,36,164,17,12,161,38,78,33,3
265,509,14,35,56,155,33,3,1,34,17
10,7,4,2,100,36,1,1,0,1,5
4,0,2,0,6,3,0,5,89,10,0
6,31,6,3,0,0,13,0,0,0,0
62,0,23,2,29,4,0,0,0,1,1
1143,1244,67,1910,113,161,25,9,8,29,14
185,417,16,159,44,45,92,4,26,9,11
93,107,53,119,15,11,2,2,3,6,1
55,151,15,112,0,0,125,0,0,73,0
660,42,50,2197,49,112,2,0,0,14,1
145,156,6,10,3,7,329,0,0,206,1
851,1068,92,1304,79,94,1,9,45,28,19
517,985,104,385,1,1,0,0,0,73,4
1,2,1,0,0,0,0,0,0,0,0
11,11,3,3,9,7,0,0,0,1,1
33,30,55,261,38,22,12,7,14,1,85
41,57,12,32,94,117,5,1,0,1,14
93,242,6,12,147,172,8,9,2,5,25
292,583,5,157,86,240,1283,20,80,74,17
90,149,16,253,0,0,2,0,0,87,0
75,71,14,199,2,0,20,0,0,128,2
41,191,3,4,4,0,2,0,0,1,4
5,20,3,50,5,6,0,0,0,10,0
41,54,18,49,94,94,47,23,32,7,53
90,164,25,49,103,99,81,1,0,12,10
3,8,2,2,3,0,1,0,0,1,0
622,2174,12,10,65,32,227,171,110,63,13
23,23,5,27,3,5,0,0,0,4,0
193,394,55,401,0,0,264,0,0,668,3
335,410,72,673,35,33,3,0,0,11,8
29,36,60,372,36,37,9,2,9,3,5
295,348,49,174,73,83,72,22,38,20,9
50,0,16,34,57,47,0,31,64,140,1
146,65,10,38,6,9,384,0,0,312,0
28,0,8,10,0,0,4,0,0,7,0
14,45,1,0,189,327,0,2,0,11,16
2,8,2,2,0,0,0,1,0,1,0
102,303,15,172,78,57,13,8,9,3,17
170,277,29,257,68,136,23,15,76,63,6
53,87,2,1,0,0,430,0,0,3,0
11,28,2,20,1,1,19,3,17,14,2
109,153,4,29,0,0,242,0,0,10,0
164,188,9,283,46,43,58,1,0,15,4
1,21,2,0,5,7,6,0,0,1,1
71,127,9,35,8,7,80,9,11,12,1
1300,1296,32,2635,15,38,597,0,0,392,19
937,1542,31,909,7,14,17,3,54,41,12
1378,2378,36,2829,20,28,8,147,301,412,12
